,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,bolpur,23.6667,87.7167,78.48,52,88,3.47,IN,1619305659
358,nalut,30.3333,10.85,60.85,56,0,16.37,LY,1619305659
359,inirida,3.8653,-67.9239,77.25,92,99,1.45,CO,1619305659
360,port lincoln,-34.7333,135.8667,60.44,63,0,1.3,AU,1619305660
361,chapais,49.7834,-74.8492,41.0,75,90,5.75,CA,1619305661
362,naze,28.3667,129.4833,69.8,68,40,18.41,JP,1619305662
363,grand-santi,4.25,-54.3833,73.54,99,100,2.82,GF,1619305663
364,zaysan,47.4667,84.8667,31.3,52,12,7.94,KZ,1619305663
365,seredka,58.1584,28.1858,33.8,86,75,6.71,RU,1619305663
366,sabalgarh,26.25,77.4,75.67,17,23,2.53,IN,1619305664
